design,method,group,drop_at_1,drop_at_3,del_auc,ins_auc
ibex_like,HP responsibility,causal,0.40187215942969756,0.5071880050462185,0.3817539224685269,0.6439366369512178
ibex_like,HP blame,causal,0.40187215942969756,0.3597830925469153,0.3785524459970423,0.5886490352901517
ibex_like,Prob. of necessity,causal,0.40187215942969756,0.2519991527661337,0.30097335665267866,0.6962516268500878
ibex_like,Shapley value,causal,0.40187215942969756,0.4937418861172652,0.5073679534675773,0.7625495367314552
ibex_like,Counterfactual dDRC,causal,0.11275550708601867,0.5071880050462185,0.3490008645952246,0.6468670461055257
ibex_like,Pigou externality,economic,0.18786283813606242,0.31558800965702727,0.2431224756730257,0.8166589538133999
ibex_like,Shadow price,economic,0.40187215942969756,0.5071880050462185,0.40803641704564164,0.6444884028423365
ibex_like,Grad-CAM,saliency,0.17834278568127304,0.37876901338990654,0.2998693478623693,0.6568015930253355
ibex_like,Integrated grads,saliency,0.11275550708601867,0.11655777239570153,0.22846392372981517,0.5334081880050866
ibex_like,Input x gradient,saliency,0.40187215942969756,0.37864463080545263,0.40775125797449807,0.5205510273457182
ibex_like,Proximity heuristic,heuristic,0.40187215942969756,0.4903221226317219,0.40687079783173263,0.5813624578559241
ibex_like,Random,control,0.40187215942969756,0.4936719465082986,0.5222471882524801,0.6450140100588677
aes_like,HP responsibility,causal,0.19769437092706743,0.30482084970654966,0.11832442811610111,0.9301807984111907
aes_like,HP blame,causal,0.38153788412808853,0.40599915871420944,0.1753287925578373,0.8950999822520007
aes_like,Prob. of necessity,causal,0.38153788412808853,0.40599915871420944,0.13661802912348908,0.8800555390265877
aes_like,Shapley value,causal,0.19769437092706743,0.49114487880514857,0.29373860194256185,1.0543159915202938
aes_like,Counterfactual dDRC,causal,0.19769437092706743,0.4348220632176647,0.13322483623436765,0.9039245234982847
aes_like,Pigou externality,economic,0.38153788412808853,0.40599915871420944,0.2889238304088344,0.9231292056056869
aes_like,Shadow price,economic,0.38153788412808853,0.4348220632176647,0.1699935388745718,0.8111381632264714
aes_like,Grad-CAM,saliency,0.08599731979721636,0.3219110532048691,0.2511713837728846,0.7471934017401267
aes_like,Integrated grads,saliency,0.11137749769266714,0.3604579550099488,0.19731943378140337,0.7193837945861462
aes_like,Input x gradient,saliency,0.11137749769266714,0.3604579550099488,0.15182135435899435,0.7558882885407139
aes_like,Proximity heuristic,heuristic,-0.023308307545838458,0.4348220632176647,0.09371481404364113,0.7957242735202289
aes_like,Random,control,0.19769437092706743,0.30482084970654966,0.250390377288112,0.9160664796935383
jpeg_like,HP responsibility,causal,0.0894345368758045,0.304695230156785,0.2383482270634263,0.9065200037416531
jpeg_like,HP blame,causal,0.0894345368758045,0.4653408218678725,0.2727651513457765,0.7768541858542639
jpeg_like,Prob. of necessity,causal,0.0894345368758045,0.304695230156785,0.2383482270634263,0.9065200037416531
jpeg_like,Shapley value,causal,0.0894345368758045,0.37868823398159335,0.3817923082495056,0.9197278843430059
jpeg_like,Counterfactual dDRC,causal,0.1690525668872832,0.34869397418418047,0.3118597394197439,0.5841884579371641
jpeg_like,Pigou externality,economic,0.1690525668872832,0.34869397418418047,0.2913850481458221,0.5594437327485648
jpeg_like,Shadow price,economic,0.0894345368758045,0.10749379051174768,0.252581498137334,0.8925689314064318
jpeg_like,Grad-CAM,saliency,0.13264127892880506,-0.1635057075572941,0.1460471573305302,0.7048439094073946
jpeg_like,Integrated grads,saliency,0.1690525668872832,0.06637421104214125,0.13650093455662327,0.5230000552619316
jpeg_like,Input x gradient,saliency,-0.24180650616321508,0.08123457565698666,-0.02731106483460577,0.6113626487937858
jpeg_like,Proximity heuristic,heuristic,0.0894345368758045,0.2974000073251609,0.25134639410545323,1.0163071926143075
jpeg_like,Random,control,-0.08417063396329749,-0.01415818312227568,0.0016646365438180988,0.6572791206806949
