design,method,group,rho_total,rho_region
ibex_like,HP responsibility,causal,0.09523809523809523,-0.015873015873015872
ibex_like,HP blame,causal,0.09523809523809523,-0.015873015873015872
ibex_like,Prob. of necessity,causal,0.09523809523809523,-0.015873015873015872
ibex_like,Shapley value,causal,0.35714285714285715,-0.04761904761904762
ibex_like,Pigou externality,economic,0.5714285714285714,0.1507936507936508
ibex_like,Shadow price,economic,0.35714285714285715,0.031746031746031744
ibex_like,Grad-CAM,saliency,0.11904761904761904,-0.1349206349206349
ibex_like,Integrated grads,saliency,-0.16666666666666666,0.12698412698412698
ibex_like,Input x gradient,saliency,-0.23809523809523808,0.04761904761904762
ibex_like,Proximity heuristic,heuristic,0.42857142857142855,0.06349206349206349
ibex_like,Random,control,-0.8809523809523809,0.07936507936507936
aes_like,HP responsibility,causal,0.42857142857142855,0.44761904761904764
aes_like,HP blame,causal,0.5428571428571428,0.4666666666666666
aes_like,Prob. of necessity,causal,0.3142857142857143,0.44761904761904764
aes_like,Shapley value,causal,0.5428571428571428,0.4666666666666666
aes_like,Pigou externality,economic,1.0,0.27619047619047615
aes_like,Shadow price,economic,0.8857142857142857,0.21904761904761907
aes_like,Grad-CAM,saliency,-0.6,-0.19999999999999998
aes_like,Integrated grads,saliency,-0.14285714285714285,-0.3142857142857143
aes_like,Input x gradient,saliency,-0.02857142857142857,-0.18095238095238098
aes_like,Proximity heuristic,heuristic,0.9428571428571428,0.1619047619047619
aes_like,Random,control,0.6571428571428571,0.4285714285714286
jpeg_like,HP responsibility,causal,0.045454545454545456,0.3606060606060606
jpeg_like,HP blame,causal,0.16363636363636364,0.30303030303030304
jpeg_like,Prob. of necessity,causal,0.09090909090909091,0.25757575757575757
jpeg_like,Shapley value,causal,0.36363636363636365,-0.11212121212121212
jpeg_like,Pigou externality,economic,0.8,0.0909090909090909
jpeg_like,Shadow price,economic,-0.045454545454545456,0.3575757575757576
jpeg_like,Grad-CAM,saliency,-0.14545454545454545,-0.29090909090909084
jpeg_like,Integrated grads,saliency,-0.18181818181818182,-0.3212121212121212
jpeg_like,Input x gradient,saliency,0.20909090909090908,0.3636363636363636
jpeg_like,Proximity heuristic,heuristic,-0.01818181818181818,0.003030303030303031
jpeg_like,Random,control,0.20909090909090908,0.06666666666666665
