design,method,group,k,rep,moved,drc_base,drc_A,drc_B,red_A,red_B,wl_A,wl_B
ibex_like,HP responsibility,causal,1,0,M0,262.54351767444416,132.94140725732808,132.94140725732808,49.36404888801087,49.36404888801087,-2.0410444424573013,-2.0410444424573013
ibex_like,HP responsibility,causal,2,0,"M0,M2",262.54351767444416,154.85458912483594,154.85458912483594,41.01755377679645,41.01755377679645,-3.1342215863364036,-3.1342215863364036
ibex_like,HP blame,causal,1,0,M0,262.54351767444416,132.94140725732808,132.94140725732808,49.36404888801087,49.36404888801087,-2.0410444424573013,-2.0410444424573013
ibex_like,HP blame,causal,2,0,"M0,M2",262.54351767444416,154.85458912483594,154.85458912483594,41.01755377679645,41.01755377679645,-3.1342215863364036,-3.1342215863364036
ibex_like,Prob. of necessity,causal,1,0,M0,262.54351767444416,132.94140725732808,132.94140725732808,49.36404888801087,49.36404888801087,-2.0410444424573013,-2.0410444424573013
ibex_like,Prob. of necessity,causal,2,0,"M0,M2",262.54351767444416,154.85458912483594,154.85458912483594,41.01755377679645,41.01755377679645,-3.1342215863364036,-3.1342215863364036
ibex_like,Shapley value,causal,1,0,M5,262.54351767444416,149.6684089305743,149.6684089305743,42.99291399143811,42.99291399143811,0.046946257712599485,0.046946257712599485
ibex_like,Shapley value,causal,2,0,"M5,M6",262.54351767444416,152.5587348562638,152.5587348562638,41.8920199563115,41.8920199563115,1.4285075561119556,1.4285075561119556
ibex_like,Pigou externality,economic,1,0,M5,262.54351767444416,149.6684089305743,126.49842812647107,42.99291399143811,51.81811029007007,0.046946257712599485,-4.23186980237861
ibex_like,Pigou externality,economic,2,0,"M5,M4",262.54351767444416,209.35121951172295,147.0776679575928,20.260373835883485,43.979699342655195,0.4851113296968613,-3.9188947509612806
ibex_like,Shadow price,economic,1,0,M3,262.54351767444416,180.95216338018733,122.55509812898624,31.077268643680892,53.320082242154065,3.1968165966198696,-2.899490297773406
ibex_like,Shadow price,economic,2,0,"M3,M4",262.54351767444416,190.49209901587423,137.29674083097234,27.443609842964854,47.70514920836047,0.6684252883841545,-2.917374586425825
ibex_like,Grad-CAM,saliency,1,0,M5,262.54351767444416,149.6684089305743,127.6665234744338,42.99291399143811,51.37319534480329,0.046946257712599485,-3.997138513815613
ibex_like,Grad-CAM,saliency,2,0,"M5,M2",262.54351767444416,135.68797106897995,190.30682162512042,48.3179122947404,27.514180006873282,-5.52177412143432,-1.287668782974157
ibex_like,Integrated grads,saliency,1,0,M1,262.54351767444416,218.02765890198086,202.95956676210406,16.955611460825818,22.69488557177962,1.2161316283644819,0.6617186801394974
ibex_like,Integrated grads,saliency,2,0,"M1,M4",262.54351767444416,208.32924476685878,163.46986645750437,20.649633016196372,37.736087371157964,3.646159349011893,1.3636770097469373
ibex_like,Input x gradient,saliency,1,0,M1,262.54351767444416,218.02765890198086,164.10364668510837,16.955611460825818,37.49468730414511,1.2161316283644819,-0.4873468657784137
ibex_like,Input x gradient,saliency,2,0,"M1,M4",262.54351767444416,208.32924476685878,168.60918136370947,20.649633016196372,35.7785776403034,3.646159349011893,-2.857015112223911
ibex_like,Proximity heuristic,heuristic,1,0,M4,262.54351767444416,200.8435336810997,193.4427381432721,23.500859796452062,26.319743158487547,-0.42698739157650006,-2.514978091746401
ibex_like,Proximity heuristic,heuristic,2,0,"M4,M5",262.54351767444416,160.4025255020971,175.71410121254587,38.90440452580613,33.072390143552276,-2.398730215505678,-4.3682375033533045
ibex_like,Random,control,1,0,M3,262.54351767444416,180.95216338018733,212.18043065634373,31.077268643680892,19.18275776305817,3.1968165966198696,0.42698739157650006
ibex_like,Random,control,2,0,"M3,M7",262.54351767444416,124.08381815607149,221.82634702729706,52.73780923818644,15.508732041000792,-1.8532594116069034,-0.4716981132075472
ibex_like,Random,control,1,1,M7,262.54351767444416,170.93663062557175,209.31153925106605,34.89207726791625,20.27548762006996,-3.5723866583206654,-2.0164535455602253
ibex_like,Random,control,2,1,"M7,M3",262.54351767444416,159.97226835576294,221.82634702729706,39.068284841780134,15.508732041000792,-2.941965483322901,-0.4716981132075472
ibex_like,Random,control,1,2,M6,262.54351767444416,168.91997927398347,196.65489115941264,35.660198061547476,25.09626864858796,-0.044710721631047126,-2.9218456585889294
ibex_like,Random,control,2,2,"M6,M2",262.54351767444416,110.48000126041742,199.04645099262189,57.91935666931476,24.18534924962767,-3.3331842975945634,-2.4009657515872305
ibex_like,Random,control,1,3,M3,262.54351767444416,180.95216338018733,212.18043065634373,31.077268643680892,19.18275776305817,3.1968165966198696,0.42698739157650006
ibex_like,Random,control,2,3,"M3,M0",262.54351767444416,155.16663190201177,204.16873151040397,40.898700041636715,22.234327733974123,1.6140570508808012,-1.9046767414826076
ibex_like,Random,control,1,4,M0,262.54351767444416,132.94140725732808,164.60149951574655,49.36404888801087,37.30506051958457,-2.0410444424573013,-2.1930608960028617
ibex_like,Random,control,2,4,"M0,M3",262.54351767444416,107.73506460065563,202.06366862245807,58.96487349794412,23.036123530188064,-4.3168201734776,-1.8532594116069034
ibex_like,Oracle upper bound,bound,1,0,M5,262.54351767444416,149.6684089305743,149.6684089305743,42.99291399143811,42.99291399143811,0.046946257712599485,0.046946257712599485
ibex_like,Oracle upper bound,bound,2,0,"M5,M3",262.54351767444416,173.9840942705665,173.9840942705665,33.73133116685516,33.73133116685516,0.03129750514173299,0.03129750514173299
aes_like,HP responsibility,causal,1,0,M1,311.03688581825674,249.4521460229068,249.4521460229068,19.79981880069838,19.79981880069838,0.5790293065304674,0.5790293065304674
aes_like,HP responsibility,causal,2,0,"M1,M5",311.03688581825674,215.82775081602375,215.82775081602375,30.610239281351674,30.610239281351674,-0.5653729549613525,-0.5653729549613525
aes_like,HP blame,causal,1,0,M5,311.03688581825674,269.02808409724275,269.02808409724275,13.506051415895515,13.506051415895515,0.8193810941468878,0.8193810941468878
aes_like,HP blame,causal,2,0,"M5,M1",311.03688581825674,215.58462382703215,215.58462382703215,30.68840589119025,30.68840589119025,-1.999289869718406,-1.999289869718406
aes_like,Prob. of necessity,causal,1,0,M5,311.03688581825674,269.02808409724275,269.02808409724275,13.506051415895515,13.506051415895515,0.8193810941468878,0.8193810941468878
aes_like,Prob. of necessity,causal,2,0,"M5,M1",311.03688581825674,215.58462382703215,215.58462382703215,30.68840589119025,30.68840589119025,-1.999289869718406,-1.999289869718406
aes_like,Shapley value,causal,1,0,M5,311.03688581825674,269.02808409724275,269.02808409724275,13.506051415895515,13.506051415895515,0.8193810941468878,0.8193810941468878
aes_like,Shapley value,causal,2,0,"M5,M1",311.03688581825674,215.58462382703215,215.58462382703215,30.68840589119025,30.68840589119025,-1.999289869718406,-1.999289869718406
aes_like,Pigou externality,economic,1,0,M4,311.03688581825674,288.5670509787156,199.43640119354552,7.224170464679414,35.880144675162725,-0.9204380957583372,-1.4557670772676372
aes_like,Pigou externality,economic,2,0,"M4,M5",311.03688581825674,224.506148159894,246.4633202587703,27.820088743083634,20.760742054631326,1.6578810804905362,-0.9723322317209734
aes_like,Shadow price,economic,1,0,M5,311.03688581825674,269.02808409724275,194.3463981613981,13.506051415895515,37.516607507780456,0.8193810941468878,0.7510993363013138
