design,kind,drc,n_hotspot,wl,changed,offmask
ibex_like,coalition_jitter,269.9643686701751,96,45831.0,"1,7,2,6",00000000
ibex_like,coalition_jitter,196.6609193271288,77,45818.0,"5,3",00000000
ibex_like,coalition_off,143.51399618743773,49,44378.0,"6,0,2,4,3",10111010
ibex_like,mixed,158.2430029799463,61,44735.0,0,10000000
ibex_like,coalition_jitter,280.7506285237747,97,46635.0,6,00000000
ibex_like,coalition_off,138.2957454003921,49,43580.0,"4,6,7,5",00001111
ibex_like,mixed,212.8677843865148,86,44947.0,2,00100000
ibex_like,coalition_jitter,210.84729459248388,78,46329.0,0,00000000
ibex_like,coalition_jitter,241.12065164908702,83,45888.0,"4,0",00000000
ibex_like,coalition_jitter,258.5440291502421,79,46413.0,0,00000000
ibex_like,coalition_off,196.92228224294092,83,44424.0,"2,7",00100001
ibex_like,coalition_off,196.92228224294092,83,44424.0,"7,2",00100001
ibex_like,coalition_off,162.13116522359047,63,44275.0,5,00000100
ibex_like,swap,208.92689728983407,73,44912.0,"6,2",00000000
ibex_like,coalition_off,171.14321593229909,72,43896.0,"5,2,7,6",00100111
ibex_like,coalition_off,162.01362931271507,68,44116.0,"6,0,2,7,3,5",10110111
ibex_like,coalition_off,205.38105951824474,76,44564.0,"1,4,7,0,2,5,6",11101111
ibex_like,mixed,98.12382402950084,37,42150.0,"7,2,3,6,4,5",00110001
ibex_like,coalition_jitter,263.55519432958437,93,47191.0,5,00000000
ibex_like,mixed,257.42539402193796,92,44804.0,"1,0,7,2",11000000
ibex_like,coalition_jitter,262.1742490378979,99,46191.0,"4,7",00000000
ibex_like,coalition_jitter,230.51171746569912,89,45030.0,"4,3,1",00000000
ibex_like,mixed,153.16887595363622,53,47850.0,"3,7,6,0,2,1,4,5",10010011
ibex_like,coalition_off,144.82222859207104,49,44380.0,"1,3",01010000
ibex_like,coalition_jitter,283.01868311147007,109,46277.0,6,00000000
ibex_like,coalition_off,112.5750817410711,46,41795.0,"2,7,0,4,6",10101011
ibex_like,coalition_jitter,253.70006767796008,92,46008.0,4,00000000
ibex_like,coalition_jitter,263.6106740699565,93,46635.0,"4,1,6",00000000
ibex_like,coalition_off,153.7766549924101,67,45656.0,"2,4,7,6,3,1,0",11111011
ibex_like,coalition_off,175.2028994468461,65,44246.0,"0,3,4,1,2,5",11111100
ibex_like,coalition_off,224.11263782393445,79,45431.0,6,00000010
ibex_like,coalition_off,144.45411464189766,51,44278.0,"0,3,7,5,4",10011101
ibex_like,coalition_off,83.6278738450927,28,41937.0,"2,4,7,5",00101101
ibex_like,mixed,205.75795001797002,76,44884.0,"3,6",00010000
ibex_like,swap,243.89072234223497,88,46982.0,"0,5",00000000
ibex_like,coalition_jitter,187.86905176814207,66,44774.0,3,00000000
ibex_like,coalition_jitter,253.850995351692,80,47648.0,"7,0,1,4",00000000
ibex_like,coalition_off,162.13116522359047,63,44275.0,5,00000100
ibex_like,coalition_off,302.9448144816813,87,42493.0,"0,1,7,2,6,5,4,3",11111111
ibex_like,swap,232.05223711841904,97,44954.0,"7,3",00000000
ibex_like,coalition_off,193.48886710707524,73,46856.0,"3,7,5",00010101
ibex_like,mixed,162.13116522359047,63,44275.0,5,00000100
ibex_like,swap,165.14654028112327,53,44592.0,"2,0",00000000
ibex_like,swap,241.59036208194016,93,44462.0,"2,1",00000000
ibex_like,coalition_off,175.48491442800594,66,45859.0,"1,0",11000000
aes_like,base,407.3052321907473,133,37606.0,,000000
aes_like,all_off,267.10602229964246,92,36263.0,"0,1,2,3,4,5",111111
aes_like,single_off,406.3464962596712,141,38301.0,0,100000
aes_like,single_off,310.1170098027401,107,36741.0,1,010000
aes_like,single_off,336.4015133441122,108,36684.0,2,001000
aes_like,single_off,329.14497943982144,112,36321.0,3,000100
aes_like,single_off,337.5569592961062,112,36154.0,4,000010
aes_like,single_off,264.14579915527395,96,36336.0,5,000001
aes_like,eco_move,441.08402670569814,151,38249.0,0,000000
aes_like,eco_move,401.9529934722751,121,38152.0,0,000000
aes_like,eco_move,355.81401904828954,113,37592.0,0,000000
aes_like,eco_move,441.31166108918444,143,38236.0,0,000000
aes_like,eco_move,410.9537878436786,134,37468.0,1,000000
aes_like,eco_move,374.20820835467987,119,36380.0,1,000000
aes_like,eco_move,428.30335639729867,130,37118.0,1,000000
aes_like,eco_move,432.70875816052535,137,37574.0,1,000000
aes_like,eco_move,380.56406430664816,131,36531.0,2,000000
aes_like,eco_move,386.71138473835043,134,36855.0,2,000000
aes_like,eco_move,444.1386857044179,139,37315.0,2,000000
aes_like,eco_move,424.6763341262689,127,37132.0,2,000000
aes_like,eco_move,468.42331438421957,140,38110.0,3,000000
aes_like,eco_move,432.40020881471355,123,37776.0,3,000000
aes_like,eco_move,390.00218382222556,127,37364.0,3,000000
aes_like,eco_move,451.050257182889,144,38577.0,3,000000
aes_like,eco_move,380.48086192025005,117,36766.0,4,000000
aes_like,eco_move,402.1838927673423,131,38880.0,4,000000
aes_like,eco_move,463.38519708290454,143,39138.0,4,000000
aes_like,eco_move,342.5572867755975,105,38455.0,4,000000
